age,income,loan_amount,loan_approved,education,gender,credit_score,employment_status
54.0,70889.94,11497.33,Yes,Masters,Female,721.0,Employed
12.0,83737.47,10766.78,Yes,Masters,Female,727.0,Employed
46.0,85940.33,11495.65,Yes,Masters,Male,709.0,Employed
39.0,42808.26,19073.07,Yes,Masters,Male,744.0,Employed
35.0,95621.55,17087.64,No,PhD,Female,690.0,Employed
39.0,60063.65,11224.11,No,Bachelors,Male,727.0,Employed
18.0,58081.91,11423.05,Yes,Masters,Male,787.0,Employed
36.0,58017.55,9263.33,Yes,Bachelors,Female,700.0,Employed
42.0,86171.53,13033.71,No,Masters,Female,705.0,Employed
53.0,64658.65,,Yes,Bachelors,Male,706.0,Self-Employed
33.0,56728.97,10605.29,No,PhD,Female,768.0,Employed
30.0,61520.82,25936.57,Yes,Bachelors,Female,,Unemployed
33.0,34106.17,18118.91,Yes,Bachelors,Male,698.0,Unemployed
47.0,53156.72,14839.12,Yes,Masters,Female,729.0,Self-Employed
41.0,45208.33,15425.36,Yes,Masters,Female,773.0,Employed
33.0,64616.61,8042.98,Yes,Bachelors,Female,655.0,Employed
43.0,83283.87,9004.86,No,Bachelors,Female,757.0,Employed
39.0,81077.52,21614.46,Yes,PhD,Female,738.0,Employed
48.0,95135.01,23175.49,Yes,Bachelors,Male,740.0,Self-Employed
31.0,90679.52,3923.04,No,High School,Female,721.0,Employed
35.0,59428.07,17351.92,No,PhD,Female,722.0,Employed
34.0,70381.43,21908.19,Yes,Masters,Male,755.0,Employed
23.0,69348.88,13291.29,Yes,Bachelors,Female,643.0,Employed
41.0,26978.95,22596.72,No,High School,Male,680.0,Employed
41.0,45654.81,18836.74,No,High School,Male,636.0,Employed
38.0,66654.27,17254.55,Yes,Masters,Female,811.0,Employed
36.0,66542.07,13776.71,Yes,Masters,Female,783.0,Employed
24.0,80246.5,15460.55,Yes,PhD,Male,611.0,Employed
34.0,79272.83,12762.93,No,Bachelors,Female,738.0,Self-Employed
35.0,34586.15,16482.29,No,Bachelors,Female,709.0,Employed
30.0,80371.93,16264.02,Yes,Masters,Female,750.0,Self-Employed
36.0,73571.74,12828.56,No,Bachelors,Female,737.0,Employed
42.0,82467.46,5264.83,Yes,Bachelors,Male,713.0,Employed
57.0,91337.31,14025.06,Yes,PhD,Male,717.0,Employed
40.0,67142.34,9910.63,Yes,Bachelors,Female,771.0,Employed
41.0,94911.76,9395.64,No,Bachelors,Female,690.0,Employed
37.0,52211.99,11550.01,No,High School,Male,701.0,Employed
19.0,51085.24,19134.41,Yes,PhD,Female,752.0,Employed
38.0,78575.44,9444.34,No,High School,Male,763.0,Self-Employed
39.0,62624.65,10562.94,Yes,Masters,Female,735.0,Employed
63.0,75232.65,18533.87,Yes,Bachelors,Female,696.0,Employed
36.0,109859.64,11171.77,No,Masters,Male,,Self-Employed
41.0,77869.9,9364.0,Yes,Masters,Male,638.0,Employed
38.0,74243.39,19044.18,Yes,High School,Male,,Employed
,52615.59,14352.67,No,Bachelors,Female,728.0,Employed
49.0,36000.4,15326.7,Yes,Bachelors,Male,702.0,Employed
,68549.07,13880.66,Yes,Masters,Male,667.0,Self-Employed
46.0,91337.4,17116.54,Yes,Masters,Male,660.0,Unemployed
29.0,63541.24,18427.36,No,High School,Female,728.0,Employed
52.0,78029.25,14385.07,Yes,Bachelors,Male,788.0,Employed
24.0,98529.95,7509.27,Yes,Masters,Female,683.0,Employed
44.0,98030.33,16487.41,Yes,Bachelors,Male,719.0,Employed
60.0,78576.32,13299.97,Yes,PhD,Female,684.0,Employed
28.0,73402.13,19286.42,Yes,Bachelors,Male,750.0,Employed
,39627.34,10521.95,Yes,Bachelors,Female,714.0,Employed
39.0,57396.11,13428.03,Yes,Bachelors,Female,769.0,Self-Employed
33.0,64384.88,7590.67,No,PhD,Male,726.0,Employed
22.0,52953.37,18915.78,Yes,High School,Female,726.0,Self-Employed
39.0,74969.07,21126.75,No,Bachelors,Female,677.0,Employed
27.0,108232.96,12560.01,No,Masters,Female,678.0,Employed
43.0,100355.23,14029.59,Yes,Bachelors,Female,743.0,Self-Employed
29.0,74877.6,10951.6,Yes,High School,Male,731.0,Employed
53.0,85588.68,11433.73,Yes,Bachelors,Female,821.0,Employed
30.0,55427.91,18467.8,Yes,PhD,Female,665.0,Employed
35.0,99281.79,12479.24,Yes,Bachelors,Female,770.0,Employed
46.0,38760.67,17375.75,Yes,Bachelors,Male,727.0,Employed
26.0,88256.56,14923.85,Yes,Masters,Female,671.0,Self-Employed
40.0,79911.79,18752.81,Yes,Bachelors,Male,586.0,Self-Employed
51.0,54882.81,13038.01,Yes,Masters,Male,688.0,Employed
22.0,,20426.55,Yes,Bachelors,Male,695.0,Employed
40.0,,24377.25,No,Bachelors,Female,694.0,Employed
41.0,48167.2,6498.25,Yes,Bachelors,Female,765.0,Employed
46.0,38178.92,14539.15,Yes,Bachelors,Female,697.0,Unemployed
26.0,85350.28,,No,High School,Female,734.0,Employed
25.0,94106.9,11421.44,No,Bachelors,Female,650.0,Employed
43.0,26763.84,17037.54,No,Masters,Female,739.0,Employed
41.0,106766.11,20602.99,Yes,High School,Female,655.0,Self-Employed
41.0,69759.84,5129.9,Yes,Bachelors,Female,754.0,Self-Employed
41.0,75797.06,4751.58,Yes,Bachelors,Female,768.0,Employed
31.0,40551.74,23287.14,Yes,Masters,Male,645.0,Self-Employed
40.0,96416.52,13801.98,Yes,Masters,Male,816.0,Employed
41.0,74005.0,15447.29,No,Bachelors,Female,,Employed
31.0,92776.52,9657.65,Yes,Bachelors,Female,738.0,Employed
57.0,,15221.66,No,Masters,Female,758.0,Employed
43.0,96697.49,21844.38,Yes,Masters,Female,686.0,Employed
26.0,57034.38,17482.12,Yes,PhD,Female,685.0,Employed
45.0,65840.76,15963.72,Yes,Bachelors,Female,699.0,Employed
28.0,57765.96,6150.01,Yes,Masters,Male,743.0,Employed
46.0,87901.93,18713.46,No,Bachelors,Female,749.0,Employed
50.0,76657.78,15047.93,Yes,Bachelors,Female,790.0,Employed
30.0,91382.9,11960.02,Yes,Bachelors,Female,782.0,Employed
48.0,92254.78,18212.54,No,Masters,Female,782.0,Unemployed
42.0,35454.81,10760.72,Yes,Bachelors,Male,764.0,Employed
46.0,97015.4,17803.87,No,Masters,Male,760.0,Employed
57.0,89017.22,21084.43,Yes,Masters,Female,700.0,Employed
36.0,62615.5,15771.07,No,Masters,Female,692.0,Self-Employed
30.0,76995.86,12880.03,No,Bachelors,Female,643.0,Employed
29.0,67526.61,12139.24,Yes,Masters,Female,790.0,Employed
,82321.11,16913.43,Yes,High School,Female,722.0,Self-Employed
37.0,62572.07,12839.86,Yes,Bachelors,Female,737.0,Employed
41.0,79578.54,26832.45,Yes,Bachelors,Male,579.0,Unemployed
41.0,71346.11,7924.42,Yes,Masters,Male,687.0,Employed
46.0,61356.12,14351.19,No,Bachelors,Female,769.0,Unemployed
38.0,73802.72,16362.86,Yes,High School,Male,737.0,Employed
53.0,124129.39,15767.59,No,Masters,Male,687.0,Unemployed
35.0,56289.27,12196.23,Yes,Masters,Female,714.0,Unemployed
65.0,65001.13,21161.31,No,Masters,Female,819.0,Unemployed
44.0,56637.75,18334.26,No,Bachelors,Male,708.0,Employed
29.0,58735.67,18698.93,Yes,High School,Male,726.0,Self-Employed
27.0,86315.49,11660.37,No,High School,Male,720.0,Employed
43.0,84317.65,12986.31,Yes,High School,Male,730.0,Unemployed
36.0,69882.73,17441.25,Yes,High School,Female,780.0,Employed
45.0,90525.93,9497.47,Yes,High School,Male,844.0,Self-Employed
43.0,85868.87,18327.83,No,Bachelors,Female,794.0,Self-Employed
37.0,66753.32,14495.25,Yes,Masters,Female,732.0,Self-Employed
30.0,39322.71,20322.98,No,Bachelors,Male,780.0,Self-Employed
23.0,86595.66,12861.9,Yes,Bachelors,Male,645.0,Employed
34.0,73393.29,24070.89,Yes,Bachelors,Male,719.0,Unemployed
47.0,70444.47,17052.52,Yes,Bachelors,Female,685.0,Employed
40.0,60679.04,17602.16,Yes,Masters,Female,692.0,Employed
26.0,84892.98,11537.14,Yes,PhD,Female,768.0,Self-Employed
40.0,76969.93,16266.7,No,PhD,Female,788.0,Self-Employed
42.0,65263.44,12253.83,No,Masters,Male,653.0,Unemployed
29.0,45490.91,7298.25,Yes,Masters,Male,711.0,Self-Employed
40.0,91358.58,14021.73,No,Bachelors,Male,687.0,Employed
39.0,82098.1,,Yes,Bachelors,Female,753.0,Employed
27.0,75108.06,,Yes,Bachelors,Female,776.0,Unemployed
42.0,16864.52,13529.28,Yes,Bachelors,Female,833.0,Employed
44.0,69242.11,13462.91,Yes,High School,Male,780.0,Unemployed
49.0,65175.93,26207.91,No,High School,Female,777.0,Employed
49.0,57630.09,18042.11,Yes,Bachelors,Male,670.0,Employed
24.0,85084.71,7049.97,Yes,Bachelors,Male,686.0,Unemployed
29.0,84297.2,12284.27,Yes,Bachelors,Female,723.0,Employed
43.0,78736.49,12995.91,No,PhD,Female,848.0,Self-Employed
43.0,90757.82,,Yes,High School,Female,724.0,Employed
43.0,49554.03,15321.78,No,Bachelors,Male,792.0,Unemployed
77.0,60926.92,12130.53,Yes,Bachelors,Female,699.0,Employed
44.0,71495.85,12436.23,Yes,High School,Male,719.0,Employed
49.0,57559.96,15767.59,Yes,Masters,Male,719.0,Self-Employed
48.0,84543.38,7296.39,Yes,Masters,Female,695.0,Self-Employed
45.0,59555.98,4244.64,Yes,Masters,Male,754.0,Employed
35.0,95967.4,21214.11,Yes,Bachelors,Female,655.0,Employed
46.0,51376.81,19186.14,No,High School,Female,629.0,Employed
30.0,112639.67,16844.46,No,Masters,Male,707.0,Unemployed
36.0,110585.95,16523.34,Yes,Masters,Female,748.0,Employed
33.0,68104.94,14053.74,Yes,Bachelors,Male,682.0,Self-Employed
39.0,92923.41,30079.83,No,Bachelors,Female,836.0,Employed
61.0,61991.44,15964.77,Yes,PhD,Male,720.0,Employed
19.0,90265.73,28040.48,Yes,Bachelors,Female,724.0,Self-Employed
45.0,66480.43,25314.04,No,Masters,Female,670.0,Self-Employed
22.0,44291.2,17308.25,Yes,Masters,Male,751.0,Self-Employed
33.0,-656.36,13950.06,Yes,Masters,Female,771.0,Self-Employed
49.0,64625.73,15080.06,No,Bachelors,Female,730.0,Employed
39.0,,12995.86,No,Bachelors,Female,736.0,Unemployed
27.0,96606.33,17305.01,No,Bachelors,Male,732.0,Employed
31.0,70732.5,18368.97,Yes,Bachelors,Male,675.0,Employed
45.0,90058.2,,No,Bachelors,Female,792.0,Unemployed
31.0,60921.17,28072.33,No,Bachelors,Female,704.0,Unemployed
40.0,63254.42,11095.09,Yes,Bachelors,Female,806.0,Employed
38.0,91080.71,1568.4,No,Masters,Female,660.0,Employed
31.0,20706.51,14591.01,Yes,Masters,Female,765.0,Employed
59.0,70259.68,9257.8,No,High School,Male,729.0,Self-Employed
44.0,62000.77,14732.86,Yes,Masters,Female,725.0,Employed
18.0,97212.22,15354.63,Yes,Masters,Male,690.0,Employed
,59435.07,17226.41,Yes,Bachelors,Female,754.0,Employed
31.0,80331.7,20029.27,No,Bachelors,Male,747.0,Employed
47.0,88430.34,9962.63,Yes,Masters,Female,809.0,Self-Employed
30.0,40148.08,,Yes,Masters,Female,,Employed
,67212.59,18392.73,No,Masters,Male,700.0,Employed
43.0,61367.27,11712.93,Yes,Bachelors,Male,698.0,Self-Employed
47.0,88925.86,5613.02,No,Bachelors,Female,736.0,Self-Employed
26.0,83501.64,18096.97,Yes,Bachelors,Female,794.0,Employed
35.0,65335.96,12173.73,Yes,Masters,Female,739.0,Self-Employed
33.0,49051.84,11840.94,Yes,Bachelors,Female,771.0,Employed
31.0,90762.93,15600.33,Yes,Bachelors,Male,735.0,Employed
56.0,68646.94,15020.69,Yes,High School,Male,,Self-Employed
42.0,37632.47,19986.1,No,Bachelors,Male,743.0,Employed
25.0,39352.39,8754.72,No,Masters,Female,710.0,Employed
47.0,78752.67,26310.77,Yes,Masters,Female,781.0,Unemployed
59.0,44483.88,7929.3,No,Bachelors,Female,803.0,Employed
48.0,107192.95,13061.25,Yes,Masters,Male,810.0,Employed
23.0,51258.59,10657.38,Yes,Bachelors,Female,711.0,Self-Employed
33.0,69992.79,15277.7,Yes,Bachelors,Female,696.0,Employed
,73182.24,15093.87,Yes,Bachelors,Male,704.0,Self-Employed
31.0,55412.45,15831.84,No,High School,Female,714.0,Self-Employed
42.0,25203.46,16306.65,Yes,PhD,Male,728.0,Employed
46.0,73817.9,21531.98,No,Bachelors,Male,674.0,Employed
29.0,54935.2,15783.21,Yes,Bachelors,Male,721.0,Self-Employed
37.0,72330.77,21941.8,Yes,Masters,Female,618.0,Employed
6.0,67553.38,6248.01,Yes,Bachelors,Male,828.0,Unemployed
28.0,75265.82,4078.3,Yes,Masters,Female,708.0,Employed
35.0,101237.4,15635.18,Yes,PhD,Male,699.0,Employed
26.0,59076.34,16634.98,Yes,Bachelors,Male,747.0,Employed
54.0,60623.11,,Yes,Masters,Female,762.0,Employed
24.0,36684.05,14949.31,Yes,Bachelors,Male,619.0,Employed
34.0,66096.32,20376.65,Yes,Bachelors,Male,686.0,Employed
39.0,78197.4,18351.73,Yes,High School,Female,791.0,Employed
52.0,60330.1,13350.18,Yes,Masters,Female,764.0,Employed
24.0,78328.61,15989.35,Yes,Masters,Female,661.0,Employed
50.0,66449.83,18794.42,Yes,Bachelors,Male,779.0,Employed
38.0,43954.68,8852.26,No,Bachelors,Female,758.0,Employed
28.0,76239.7,10975.08,Yes,Masters,Female,680.0,Self-Employed
43.0,65883.36,19616.77,Yes,Masters,Female,720.0,Employed
40.0,72455.16,6351.67,Yes,Bachelors,Female,635.0,Employed
32.0,58661.0,9548.26,No,Bachelors,Female,761.0,Employed
39.0,56891.95,8933.17,Yes,High School,Male,797.0,Employed
34.0,73148.22,19589.19,No,Bachelors,Female,703.0,Self-Employed
39.0,65388.0,9575.82,Yes,Bachelors,Male,720.0,Employed
45.0,104485.56,18959.46,No,Masters,Male,741.0,Self-Employed
54.0,85974.61,,Yes,Masters,Female,709.0,Self-Employed
26.0,,23893.53,No,Bachelors,Female,617.0,Self-Employed
59.0,66450.38,15641.63,Yes,Masters,Male,774.0,Self-Employed
18.0,29479.53,20334.71,Yes,Bachelors,Female,780.0,Employed
36.0,53848.1,17301.8,Yes,High School,Male,754.0,Employed
44.0,57054.13,12745.84,Yes,PhD,Female,790.0,Employed
41.0,64500.31,14937.28,No,High School,Male,713.0,Employed
32.0,69332.81,15041.89,No,Masters,Female,742.0,Employed
36.0,83121.5,12690.75,Yes,Bachelors,Male,685.0,Employed
33.0,75462.91,19439.54,Yes,Bachelors,Male,676.0,Employed
32.0,93184.06,27553.03,Yes,Masters,Female,655.0,Employed
46.0,63761.96,15579.27,Yes,High School,Male,737.0,Employed
42.0,75143.26,18583.06,Yes,Bachelors,Male,724.0,Self-Employed
31.0,76876.88,17644.02,Yes,PhD,Female,775.0,Employed
47.0,74914.53,1949.73,Yes,Bachelors,Male,633.0,Self-Employed
41.0,95637.8,17457.84,No,Bachelors,Female,733.0,Employed
46.0,86075.49,17207.61,Yes,Masters,Male,,Employed
44.0,43611.94,8757.07,Yes,Masters,Male,726.0,Employed
30.0,67713.38,6057.45,No,PhD,Male,765.0,Unemployed
32.0,69720.53,17135.74,No,PhD,Female,837.0,Employed
45.0,113030.82,23226.43,No,Masters,Female,788.0,Employed
44.0,,13153.34,Yes,High School,Female,649.0,Self-Employed
38.0,50350.32,13341.67,No,Masters,Female,704.0,Employed
39.0,,26541.55,No,Masters,Male,738.0,Unemployed
51.0,79939.71,19479.94,Yes,Masters,Female,717.0,Self-Employed
32.0,68524.54,8928.67,Yes,Bachelors,Female,786.0,Employed
43.0,65594.78,11434.98,No,High School,Male,719.0,Employed
36.0,88978.08,25896.39,Yes,Bachelors,Male,716.0,Employed
36.0,52928.04,11684.84,Yes,Masters,Female,774.0,Employed
49.0,63180.93,12333.83,No,High School,Female,650.0,Unemployed
46.0,59557.0,18353.18,Yes,Masters,Female,744.0,Self-Employed
46.0,91877.89,,Yes,High School,Male,688.0,Employed
51.0,75709.88,17217.13,Yes,Masters,Male,759.0,Self-Employed
38.0,48700.12,16439.38,Yes,Bachelors,Female,702.0,Employed
45.0,50709.87,14274.29,Yes,Masters,Male,746.0,Employed
35.0,107468.3,21046.74,Yes,Bachelors,Female,693.0,Employed
41.0,91664.35,8623.61,Yes,PhD,Male,621.0,Employed
37.0,86831.01,15587.49,Yes,Masters,Male,738.0,Employed
39.0,70244.94,12098.82,Yes,Bachelors,Male,655.0,Employed
44.0,100169.46,23209.87,No,Bachelors,Female,795.0,Employed
30.0,47931.9,14127.73,No,Masters,Female,748.0,Self-Employed
,85059.35,24613.0,No,Bachelors,Female,756.0,Self-Employed
28.0,61134.53,12891.25,Yes,Bachelors,Female,706.0,Self-Employed
26.0,65022.13,15545.72,No,Masters,Male,719.0,Employed
50.0,84515.79,20440.52,Yes,PhD,Female,602.0,Self-Employed
46.0,67128.85,10222.17,No,Bachelors,Female,740.0,Unemployed
44.0,61306.0,,Yes,High School,Female,663.0,Employed
44.0,60096.85,15130.59,No,High School,Male,736.0,Self-Employed
38.0,30273.09,17057.8,Yes,High School,Male,,Employed
29.0,85264.07,17730.1,No,Bachelors,Male,751.0,Self-Employed
39.0,49867.4,14619.73,Yes,Bachelors,Male,729.0,Employed
31.0,107168.19,10951.01,Yes,Masters,Male,654.0,Employed
,64247.75,15471.16,Yes,Bachelors,Female,788.0,Employed
37.0,96188.8,4943.48,Yes,Bachelors,Female,710.0,Employed
30.0,33819.38,8446.6,Yes,High School,Female,676.0,Employed
35.0,84629.66,14299.49,No,Bachelors,Male,772.0,Employed
42.0,89771.11,22736.76,Yes,Masters,Female,692.0,Employed
32.0,96071.27,22585.38,Yes,PhD,Male,712.0,Self-Employed
30.0,,19897.33,Yes,High School,Female,797.0,Employed
40.0,55945.63,7304.71,Yes,Bachelors,Male,740.0,Employed
40.0,81530.2,16503.81,Yes,Bachelors,Female,751.0,Self-Employed
33.0,,10696.97,Yes,High School,Female,714.0,Employed
33.0,75867.19,14663.95,Yes,Bachelors,Male,687.0,Unemployed
40.0,62794.27,19772.52,Yes,Bachelors,Male,703.0,Self-Employed
,101015.97,18289.41,No,Bachelors,Male,602.0,Employed
24.0,122169.31,,No,Bachelors,Male,754.0,Employed
31.0,72079.6,7953.89,Yes,Masters,Female,750.0,Self-Employed
36.0,79068.42,9885.87,Yes,Bachelors,Male,646.0,Employed
41.0,71124.87,22532.17,Yes,Bachelors,Female,739.0,Self-Employed
53.0,95681.07,22608.93,No,Masters,Male,570.0,Employed
47.0,86582.33,14919.08,Yes,Masters,Female,827.0,Employed
36.0,48672.39,14883.16,No,Masters,Female,,Employed
38.0,57745.96,20864.05,Yes,PhD,Male,694.0,Employed
28.0,49814.06,17660.66,Yes,High School,Male,757.0,Employed
38.0,123896.45,18031.68,Yes,Bachelors,Male,743.0,Employed
35.0,82706.24,10375.92,Yes,Masters,Female,643.0,Employed
41.0,58086.28,20746.81,No,High School,Female,722.0,Unemployed
30.0,56488.96,14001.7,Yes,PhD,Female,741.0,Employed
43.0,86104.63,8038.22,Yes,High School,Female,678.0,Employed
53.0,88098.4,11093.28,Yes,Masters,Female,759.0,Employed
37.0,85962.15,12014.6,Yes,Masters,Male,656.0,Employed
42.0,61488.85,22390.08,Yes,Masters,Female,750.0,Employed
45.0,76116.87,11516.84,No,Masters,Female,645.0,Self-Employed
34.0,,16923.45,Yes,Masters,Male,699.0,Employed
40.0,51274.79,4448.73,No,Masters,Female,639.0,Employed
38.0,51470.12,19684.02,No,Masters,Female,760.0,Self-Employed
39.0,78239.3,11042.07,Yes,Masters,Female,783.0,Employed
30.0,73929.02,16954.11,Yes,High School,Male,805.0,Self-Employed
38.0,81067.03,16952.16,Yes,PhD,Male,699.0,Employed
43.0,85820.46,,No,Bachelors,Male,681.0,Employed
53.0,99987.65,16661.53,Yes,Bachelors,Male,771.0,Self-Employed
48.0,54481.91,24572.65,Yes,Masters,Male,723.0,Employed
60.0,,16043.68,Yes,Masters,Male,,Unemployed
30.0,84983.98,26242.65,No,Masters,Female,687.0,Employed
47.0,63757.39,18188.66,No,High School,Female,721.0,Employed
40.0,72437.26,16373.57,Yes,PhD,Female,781.0,Self-Employed
60.0,64268.83,19457.55,Yes,Masters,Male,667.0,Self-Employed
30.0,112171.81,15983.61,Yes,PhD,Female,786.0,Employed
30.0,72097.05,17245.79,Yes,Bachelors,Male,711.0,Employed
32.0,79030.1,16736.47,No,Masters,Female,781.0,Employed
17.0,64720.31,16237.57,Yes,Bachelors,Female,710.0,Employed
33.0,60407.31,,No,Masters,Male,762.0,Employed
30.0,43959.95,26361.87,Yes,Bachelors,Male,678.0,Employed
40.0,91997.37,16635.16,Yes,Masters,Male,741.0,Employed
41.0,85368.75,21297.29,Yes,High School,Male,753.0,Employed
57.0,63978.07,21004.75,Yes,PhD,Male,627.0,Employed
48.0,51992.6,20463.76,Yes,Masters,Male,802.0,Self-Employed
32.0,73598.17,,Yes,Bachelors,Male,647.0,Employed
29.0,60046.06,18317.0,Yes,Bachelors,Female,774.0,Employed
43.0,65559.15,17856.06,No,Bachelors,Female,,Employed
25.0,44728.8,11407.23,No,Masters,Male,758.0,Self-Employed
56.0,74341.39,14673.43,No,High School,Male,741.0,Employed
50.0,74740.06,9016.01,Yes,Masters,Female,703.0,Employed
33.0,91894.46,17882.21,Yes,Bachelors,Female,676.0,Employed
21.0,66985.17,17155.86,No,High School,Female,708.0,Self-Employed
52.0,63328.75,18496.61,No,High School,Female,696.0,Self-Employed
37.0,38864.78,11126.05,Yes,Bachelors,Female,738.0,Employed
50.0,92019.22,19822.44,Yes,High School,Female,724.0,Employed
22.0,87856.46,17356.57,Yes,Bachelors,Female,680.0,Employed
32.0,70574.77,26164.79,Yes,PhD,Female,659.0,Self-Employed
38.0,43415.38,,Yes,High School,Female,699.0,Employed
38.0,45709.46,12011.15,Yes,High School,Male,716.0,Employed
33.0,59057.88,8248.71,Yes,High School,Female,682.0,Employed
44.0,89304.51,16090.79,Yes,High School,Male,739.0,Employed
27.0,75806.75,9853.89,Yes,Bachelors,Female,709.0,Employed
37.0,40132.86,11327.42,Yes,Bachelors,Male,769.0,Employed
39.0,,10170.22,Yes,High School,Male,739.0,Employed
43.0,53217.07,12094.36,Yes,Masters,Female,750.0,Employed
45.0,59555.76,22281.02,No,Masters,Male,691.0,Employed
27.0,89434.76,10163.29,No,Bachelors,Male,784.0,Self-Employed
23.0,85310.08,12876.57,Yes,Masters,Male,733.0,Self-Employed
51.0,91862.0,7847.2,Yes,High School,Female,786.0,Employed
41.0,69537.33,6467.97,Yes,PhD,Female,764.0,Employed
31.0,87660.49,13602.9,Yes,Masters,Female,710.0,Employed
54.0,58277.27,16037.42,Yes,High School,Male,690.0,Self-Employed
